genename	refseq
TPBG	NM_001376922
TPBG	NM_006670
TPBG	NM_001166392
INPP5D	NM_005541
INPP5D	NM_001017915
ELF1	NM_001370330
ELF1	NM_001370329
ELF1	NM_172373
ELF1	NM_001370332
ELF1	NM_001370331
ELF1	NM_001145353
ATG16L1	NM_198890
ATG16L1	NM_030803
ATG16L1	NM_001190267
ATG16L1	NM_001190266
ATG16L1	NM_017974
ATG16L1	NM_001363742
SAG	NM_000541
TRIM71	NM_001039111
CNOT10	NM_001256741
CNOT10	NM_001393369
CNOT10	NM_015442
CNOT10	NM_001393367
CNOT10	NM_001393366
CNOT10	NM_001393368
CNOT10	NM_001256742
SCEL	NM_003843
SCEL	NM_144777
SCEL	NM_001160706
SLC25A26	NM_173471
SLC25A26	NM_001400705
SLC25A26	NM_001379210
SLC25A26	NM_001400707
SLC25A26	NM_001350993
SLC25A26	NM_001164796
SLC25A26	NM_001400711
SLC25A26	NM_001400714
SLC25A26	NM_001400709
KPNA7	NM_001145715
FREM2	NM_207361
PRR20B	NM_001130404
TBC1D4	NM_014832
TBC1D4	NM_001286659
TBC1D4	NM_001286658
PRR20D	NM_001130406
SPRY2	NM_001318538
SPRY2	NM_001318537
SPRY2	NM_005842
SPRY2	NM_001318536
SLC16A1	NM_003051
SLC16A1	NM_001166496
PRR20E	NM_001130407
UFM1	NM_001286704
UFM1	NM_001286705
UFM1	NM_016617
UFM1	NM_001286703
UFM1	NM_001286706
KLF5	NM_001730
KLF5	NM_001286818
CBY2	NM_152719
CBY2	NM_001286341
CBY2	NM_001286342
UBAC2	NM_001144072
UBAC2	NM_177967
KBTBD4	NM_018095
KBTBD4	NM_001318719
KBTBD4	NM_001318717
KBTBD4	NM_001318720
KBTBD4	NM_001318718
KBTBD4	NM_001318721
KBTBD4	NM_001318722
KBTBD4	NM_001318723
KBTBD4	NM_001318724
KBTBD4	NM_016506
KBTBD4	NM_001318725
KBTBD4	NM_001318716
FAM180B	NM_001367968
FAM180B	NM_001367966
FAM180B	NM_001367967
FAM180B	NM_001164379
C1QTNF4	NM_031909
AGBL2	NM_024783
FNBP4	NM_015308
FNBP4	NM_001318339
MTCH2	NM_014342
MTCH2	NM_001317231
MTCH2	NM_001317232
MTCH2	NM_001317233
RFC3	NM_002915
RFC3	NM_181558
POU4F1	NM_006237
ITSN1	NM_001331012
SPATA13	NM_001286792
MLXIP	NM_014938
SPATA13	NM_153023
SPATA13	NM_001286795
SPATA13	NM_001286793
SPATA13	NM_001166271
SPATA13	NM_001286794
CTTN	NM_138565
CTTN	NM_005231
CTTN	NM_001184740
PPFIA1	NM_003626
PPFIA1	NM_177423
PPFIA1	NM_001378006
NHLRC3	NM_001012754
